time,open,high,low,close,volume
1776484800,77005.47,77162.08,76884.1,77100.74,370.07883
1776488400,77100.73,77278.58,77100.73,77134.66,312.05483
1776492000,77134.66,77217.0,77058.4,77136.01,168.72376
1776495600,77136.01,77136.01,76890.0,76997.8,276.05173
1776499200,76997.79,77048.0,76501.0,76738.63,773.24357
1776502800,76738.62,76738.63,76409.37,76599.89,462.93265
1776506400,76599.89,76599.9,76132.32,76189.56,624.93038
1776510000,76189.55,76189.56,75763.76,76039.05,809.07399
1776513600,76039.06,76300.0,76039.05,76206.97,492.57948
1776517200,76206.98,76212.7,75797.53,76122.87,456.87331
1776520800,76122.88,76288.4,75959.68,76249.99,461.97289
1776524400,76250.0,76363.75,76003.97,76167.34,261.12334
1776528000,76167.33,76211.57,75691.03,75943.35,522.36094
1776531600,75943.34,75958.23,75778.69,75828.51,256.05723
1776535200,75828.51,75844.66,75445.16,75651.78,591.47146
1776538800,75651.78,75796.32,75574.22,75649.85,194.3187
1776542400,75649.86,75834.3,75608.44,75754.78,484.97143
1776546000,75754.77,75839.1,75599.64,75821.34,197.94348
1776549600,75821.35,75873.1,75608.89,75813.53,155.69572
1776553200,75813.53,75891.64,75685.69,75691.76,141.95985
1776556800,75691.76,75847.42,75551.73,75693.01,297.06433
1776560400,75693.0,75798.47,75457.11,75621.95,321.53516
1776564000,75621.96,75722.21,75407.84,75496.0,212.48934
1776567600,75496.01,75637.44,75357.0,75515.77,175.28804
1776571200,75515.76,75782.63,75424.4,75664.62,294.60425
1776574800,75664.62,75687.04,75516.39,75545.6,174.63786
1776578400,75545.6,75545.6,75280.92,75400.09,385.31594
1776582000,75400.09,75400.09,74867.72,75252.34,771.61495
1776585600,75252.33,75299.99,75071.58,75257.6,333.58261
1776589200,75257.59,75265.0,74921.74,75015.0,313.21615
1776592800,75015.0,75243.02,74933.87,75222.45,323.18472
1776596400,75222.46,75641.99,75216.96,75604.11,418.71675
1776600000,75604.11,75700.0,75432.07,75571.6,439.48255
1776603600,75571.61,76240.66,75552.44,75921.75,760.39543
1776607200,75921.75,76147.01,75674.55,76024.01,621.24056
1776610800,76024.02,76155.3,75401.44,75846.63,1097.76631
1776614400,75846.63,75853.26,75311.11,75382.86,403.71917
1776618000,75382.87,75382.87,74638.31,74791.26,795.68148
1776621600,74791.27,74908.62,74608.0,74770.11,531.16281
1776625200,74770.11,75071.61,74770.11,74965.47,306.83274
1776628800,74965.46,74965.47,74427.53,74630.0,452.71123
1776632400,74630.01,74810.0,74368.6,74425.15,383.54881
1776636000,74425.16,74425.16,73762.9,74047.34,1140.3898
1776639600,74047.34,74054.22,73790.0,73801.79,415.64133
1776643200,73801.8,74360.43,73724.31,74280.01,787.93368
1776646800,74280.01,74746.93,74214.67,74595.13,689.61016
1776650400,74595.12,74627.99,74304.84,74410.01,739.68976
1776654000,74410.01,74640.65,74359.04,74634.0,281.2031
1776657600,74634.01,74637.43,74435.19,74567.64,333.76794
1776661200,74567.63,74567.63,74095.18,74264.15,529.73957
1776664800,74264.16,74894.11,74250.0,74786.59,441.3007
1776668400,74786.59,75572.0,74670.86,74837.17,1175.74482
1776672000,74837.18,74998.83,74619.41,74728.91,538.52852
1776675600,74728.92,75233.0,74706.87,75062.77,502.56404
1776679200,75062.77,75404.63,75003.63,75027.26,321.321
1776682800,75027.26,75287.88,74957.51,75192.71,284.12016
1776686400,75192.72,75650.0,75043.86,75289.9,698.85484
1776690000,75289.91,75434.41,74859.11,75269.38,774.09093
1776693600,75269.37,75766.74,74921.42,75034.79,1047.20928
1776697200,75034.79,75772.72,74702.0,75716.77,1196.9526
1776700800,75716.78,75723.99,75299.26,75338.74,630.71705
1776704400,75338.75,75991.47,75289.92,75898.14,642.61045
1776708000,75898.14,76453.19,75898.14,76423.69,1544.76303
